0.087	0.087	0.087	0.087	0.087	0.087	0.087	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
-0.175	-0.175	-0.175	-0.175	-0.175	-0.175	-0.175	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
-0.175	-0.175	-0.175	-0.175	-0.175	-0.175	-0.175	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.785	0.785	0.785	0.785	0.785	0.785	0.785	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.785	0.785	0.785	0.785	0.785	0.785	0.785	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.000  	0.000  	0.000  	0.000  	0.000  	0.000  	0.000  	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.000  	0.000  	0.000  	0.000  	0.000  	0.000  	0.000  	
0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	
0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	
0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	
0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	
0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.087	-0.175	-0.175	0.785	0.785	0.000	0.000
